episode,reward,length,loss
293,-39.47530718967765,100,-3.037667751312256
294,-91.23785738560785,87,-2.9173316955566406
295,-297.02947965679266,133,5.934246063232422
296,-100.05634727824253,151,-6.263339042663574
297,-65.92466260693078,70,1.12973952293396
298,-288.54264013319573,138,-2.614488363265991
299,-63.26225269470841,97,-7.498626708984375
300,-65.45306526808264,87,1.835869312286377
301,-300.16675134030004,129,6.85502815246582
302,-80.86578504279854,88,-3.6356201171875
303,-82.70864439497517,165,-5.186542510986328
304,-88.85130807242423,140,-4.260828971862793
305,-82.09272822116525,127,5.654314994812012
306,-177.95672824000178,108,-7.696589469909668
307,-178.0413460751838,130,-0.5158787965774536
308,-160.18111492674166,126,-6.284805774688721
309,-265.0059520641422,90,-6.1584672927856445
310,-45.82880937711528,112,-4.928775787353516
311,-115.6433171042173,119,-4.497528076171875
312,-92.2735845606268,116,-1.7852343320846558
313,-75.74022852892804,127,2.858534336090088
314,-79.29528681884858,65,-2.917387008666992
315,-106.47918979156698,112,-0.8395687341690063
316,-181.88547877961523,143,-0.16070330142974854
317,-139.02935754570046,105,-4.577810764312744
318,-217.7665959807276,109,-3.064363956451416
319,-88.61336472352335,129,-2.7387993335723877
320,-63.10810762487657,66,3.207447052001953
321,-94.56812091030977,83,3.339686393737793
322,-160.74409150456324,127,4.709567070007324
323,-350.01927964092135,130,1.0744290351867676
324,-77.73796392633307,126,1.9935202598571777
325,-169.62780575163194,104,0.29448258876800537
326,-69.32465238668674,93,2.9113011360168457
327,-95.41282644561717,132,-8.50445556640625
328,-113.8296232328747,77,-0.16391324996948242
329,-4.2899768750801,98,-0.8002709150314331
330,-67.83322394519558,141,-0.8002074956893921
331,-65.45169829487457,208,-8.913241386413574
332,-237.09159461045894,111,-3.5836920738220215
333,-61.19689759191031,171,1.4793486595153809
334,-19.177792704458,103,2.45381498336792
335,35.28722705070024,104,0.485925555229187
336,-117.05377710669481,112,-1.5200114250183105
337,-187.51527502495748,187,4.553915023803711
338,-120.02155811805557,102,-5.529548168182373
339,-69.38496277852167,102,-4.412698268890381
340,-56.5236814198374,136,-1.6235198974609375
341,-59.07980115286265,81,0.31031376123428345
342,-60.27592661208252,84,2.2855582237243652
343,-61.33730081057439,94,0.18559861183166504
344,-303.77695784270065,202,-11.580912590026855
345,-218.66719175575952,144,-6.278230667114258
346,-149.43758725292838,75,-0.20224463939666748
347,-116.74794054966054,110,-11.386860847473145
348,-127.97633006127464,140,3.8587100505828857
349,-77.55334055914416,193,-5.799236297607422
350,-295.7602194658248,135,-1.1139745712280273
351,-122.08380085628443,105,-3.207815408706665
352,-66.03896127551522,127,-5.872892379760742
353,-122.89445977548252,98,-1.011855125427246
354,-64.54707982261829,110,-4.805225372314453
355,-272.2494733593902,102,5.98576021194458
356,-212.89891746926816,144,-10.164030075073242
357,-143.0839537035293,105,-0.14178895950317383
358,-138.08628404000768,120,-1.0544626712799072
359,-75.33224298076155,173,-2.1680169105529785
360,-98.1803106965695,189,-0.3143892288208008
361,-12.586713511858761,148,-0.6520442962646484
362,-131.29784993937696,100,6.974824905395508
363,-32.02662174708212,98,-7.1169819831848145
364,-227.04145847130948,156,-4.795024871826172
365,-51.983627156897825,159,-1.6484806537628174
366,-119.92014729508031,76,3.8524861335754395
367,-185.07510471647868,136,0.6145495176315308
368,-264.00452668603407,98,2.8921074867248535
369,-197.35728008970375,137,-3.097499132156372
370,-67.16567208145335,76,0.7133520841598511
371,-54.87035719465717,166,0.9947688579559326
372,-122.68900847551657,104,-4.257480621337891
373,-102.25282588350404,113,-7.591001510620117
374,-70.81059284717443,133,-2.3539299964904785
375,-77.91343796887492,158,-2.8469204902648926
376,-34.472887921710225,115,8.832878112792969
377,-112.1105624481506,122,-8.667619705200195
378,-68.47278113439387,88,3.561187505722046
379,-91.14064427867757,80,-6.150152206420898
380,-133.9579617647848,162,-5.519701957702637
381,-221.7672690017687,102,-7.378931999206543
382,-53.205285773353864,130,-2.7815966606140137
383,-224.52566277698895,261,-6.751649379730225
384,-97.56938145371078,91,-1.5289554595947266
385,-102.10480582514502,118,-3.7226672172546387
386,-13.578110800021875,88,-4.700893402099609
387,-181.2981171381307,152,-9.072741508483887
388,-50.02475550446452,160,8.193563461303711
389,-101.57082309209844,99,-4.316812038421631
390,-64.9714474038762,82,-1.7780344486236572
391,-39.377909287140966,164,3.295596122741699
392,-59.25518739220685,110,3.893022060394287
393,-69.30156988031813,84,0.9406013488769531
394,-344.2439448649685,157,1.826578140258789
395,-75.65376924670281,129,-2.630699396133423
396,-49.41354021881621,119,5.888521194458008
397,-48.42721232002995,90,0.3664240837097168
398,-92.25881001032243,169,2.591139793395996
399,-130.33993625644882,173,5.930817127227783
400,-55.67062939682669,71,1.1006758213043213
401,-193.3032391724457,140,0.5218815803527832
402,-85.99124001111905,84,-5.189627647399902
